series_code,municipality_name,sex_label,province_code,municipality_code
DPOP12968,Arroyomolinos,Hombres,28,015
DPOP4730,Arroyomolinos,Hombres,10,023
DPOP12969,Arroyomolinos,Mujeres,28,015
DPOP4731,Arroyomolinos,Mujeres,10,023
DPOP12967,Arroyomolinos,Total,28,015
DPOP4729,Arroyomolinos,Total,10,023
DPOP13175,"Molar, El",Hombres,28,086
DPOP19424,"Molar, El",Hombres,43,085
DPOP13176,"Molar, El",Mujeres,28,086
DPOP19425,"Molar, El",Mujeres,43,085
DPOP13174,"Molar, El",Total,28,086
DPOP19423,"Molar, El",Total,43,085
DPOP21779,Torrent,Hombres,46,244
DPOP7961,Torrent,Hombres,17,197
DPOP21780,Torrent,Mujeres,46,244
DPOP7962,Torrent,Mujeres,17,197
DPOP21778,Torrent,Total,46,244
DPOP7960,Torrent,Total,17,197
